scenario,episode,method,delay_steps,trace_quality,proxy_conflict,localization_error,counterfactual_precision,success_lift,reward_dependence
visible_effect,0,delayed_reward_td,7,0.7474,0.1587,3.4633,0.395,0.0228,1.0
visible_effect,0,dense_shaping,7,0.7474,0.1587,2.073,0.506,0.1471,0.55
visible_effect,0,effect_trace,7,0.7474,0.1587,0.8241,0.8742,0.3284,0.0
visible_effect,1,delayed_reward_td,8,0.9413,0.2286,3.8071,0.3661,0.0481,1.0
visible_effect,1,dense_shaping,8,0.9413,0.2286,2.2395,0.4908,0.1007,0.55
visible_effect,1,effect_trace,8,0.9413,0.2286,0.756,0.9107,0.3255,0.0
visible_effect,2,delayed_reward_td,4,0.8648,0.0374,2.5682,0.3933,0.0772,1.0
visible_effect,2,dense_shaping,4,0.8648,0.0374,1.4261,0.6288,0.1601,0.55
visible_effect,2,effect_trace,4,0.8648,0.0374,0.4422,0.937,0.3515,0.0
visible_effect,3,delayed_reward_td,6,0.876,0.1514,3.1697,0.4071,0.0466,1.0
visible_effect,3,dense_shaping,6,0.876,0.1514,1.9747,0.5633,0.174,0.55
visible_effect,3,effect_trace,6,0.876,0.1514,0.7061,0.9337,0.3344,0.0
visible_effect,4,delayed_reward_td,9,0.6577,0.3068,4.2064,0.3616,-0.024,1.0
visible_effect,4,dense_shaping,9,0.6577,0.3068,2.6408,0.4284,0.1611,0.55
visible_effect,4,effect_trace,9,0.6577,0.3068,0.9698,0.8469,0.3076,0.0
visible_effect,5,delayed_reward_td,6,0.8671,0.2845,3.2848,0.4017,0.0483,1.0
visible_effect,5,dense_shaping,6,0.8671,0.2845,1.9565,0.4655,0.1439,0.55
visible_effect,5,effect_trace,6,0.8671,0.2845,0.6379,0.909,0.3396,0.0
visible_effect,6,delayed_reward_td,7,0.8727,0.2962,3.5766,0.406,0.0074,1.0
visible_effect,6,dense_shaping,7,0.8727,0.2962,2.1303,0.5048,0.1453,0.55
visible_effect,6,effect_trace,7,0.8727,0.2962,0.7248,0.8773,0.3149,0.0
visible_effect,7,delayed_reward_td,2,0.9542,0.1944,2.0349,0.4471,0.0672,1.0
visible_effect,7,dense_shaping,2,0.9542,0.1944,1.1699,0.5254,0.1801,0.55
visible_effect,7,effect_trace,2,0.9542,0.1944,0.4011,0.9632,0.3467,0.0
visible_effect,8,delayed_reward_td,6,0.7664,0.116,3.2384,0.3925,0.0559,1.0
visible_effect,8,dense_shaping,6,0.7664,0.116,1.7074,0.5429,0.1417,0.55
visible_effect,8,effect_trace,6,0.7664,0.116,0.7377,0.8897,0.3496,0.0
visible_effect,9,delayed_reward_td,8,0.7758,0.2657,3.9379,0.3815,0.0311,1.0
visible_effect,9,dense_shaping,8,0.7758,0.2657,2.4414,0.4537,0.1243,0.55
visible_effect,9,effect_trace,8,0.7758,0.2657,0.8266,0.8595,0.3093,0.0
visible_effect,10,delayed_reward_td,4,0.7522,0.2083,2.7681,0.391,0.0871,1.0
visible_effect,10,dense_shaping,4,0.7522,0.2083,1.5347,0.5658,0.1533,0.55
visible_effect,10,effect_trace,4,0.7522,0.2083,0.6316,0.8947,0.3048,0.0
visible_effect,11,delayed_reward_td,11,0.9559,0.1303,4.7043,0.2746,-0.0031,1.0
visible_effect,11,dense_shaping,11,0.9559,0.1303,2.7725,0.4534,0.1002,0.55
visible_effect,11,effect_trace,11,0.9559,0.1303,0.8485,0.928,0.329,0.0
visible_effect,12,delayed_reward_td,7,0.8417,0.3162,3.552,0.3569,0.0449,1.0
visible_effect,12,dense_shaping,7,0.8417,0.3162,2.2379,0.4669,0.1446,0.55
visible_effect,12,effect_trace,7,0.8417,0.3162,0.8007,0.9268,0.3315,0.0
visible_effect,13,delayed_reward_td,8,0.8269,0.3072,3.8518,0.3356,0.0054,1.0
